[	0.0000000000000000e+00	-1.5031116724509047e-01	-1.3100000000000001e+00	1.2200000000000000e+00	-9.1850998115588348e-02	1.9199999999999999e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	]
[	3.3333333333333333e-02	-1.7236686657246719e-01	-1.2584994039852118e+00	1.2233181459161266e+00	-7.4341505655382362e-02	1.9183737556639722e+00	-8.2725795747505000e+00	1.9486147521322330e+01	1.1511592505244304e+00	6.7289105873423400e+00	-5.7488851377978734e-01	2.6318677407405188e-02	]
[	6.6666666666666666e-02	-2.0952769806570076e-01	-1.1569855767174646e+00	1.2245922689044049e+00	-4.1203531877574640e-02	1.9153734712627102e+00	-5.6937801721100296e+00	1.8519136303078700e+01	-7.1979897905886692e-01	5.5819991009351382e+00	-5.7915432523703159e-01	5.2638260582027876e-02	]
[	1.0000000000000001e-01	-2.3552808174826559e-01	-1.0626225903898381e+00	1.2160115343401969e+00	-7.8973511593729822e-03	1.9123362166690778e+00	-4.0327618127134590e+00	1.6772406981397026e+01	-2.5875575078045814e+00	6.8010561065579722e+00	-5.8066632854374600e-01	7.8953669135330209e-02	]
[	1.3333333333333333e-01	-2.5598968829104812e-01	-9.7845069659142414e-01	1.1977172388342310e+00	3.3143016636924823e-02	1.9092141071447357e+00	-3.6083213844520530e+00	1.4776860054747218e+01	-4.3918224388718681e+00	8.5883582393893985e+00	-6.1389328040799052e-01	1.0526615885759961e-01	]
[	1.6666666666666666e-01	-2.7554949928261141e-01	-9.0432652755193077e-01	1.1701864028640108e+00	8.2838671853233375e-02	1.9056502957300963e+00	-3.7437121230872865e+00	1.3150924732362217e+01	-6.0795860066077037e+00	1.0174004892372849e+01	-7.6226714615011515e-01	1.3158080360281535e-01	]
[	2.0000000000000001e-01	-2.9596438007609926e-01	-8.3987337778000315e-01	1.1338474817691131e+00	1.4354190498480854e-01	1.9009027404442098e+00	-3.9664205576200198e+00	1.1253025255724420e+01	-7.7258957299649831e+00	1.2800798111665168e+01	-1.0907979827773127e+00	1.5789743089211442e-01	]
[	2.3333333333333334e-01	-3.1642038184787080e-01	-7.8602807144982678e-01	1.0889487826759012e+00	2.1813087427632072e-01	1.8934911038099789e+00	-3.8232046256873735e+00	9.2902201581989274e+00	-9.3185905252150594e+00	1.5453944297861074e+01	-1.7994710714784954e+00	1.8421233701679404e-01	]
[	2.6666666666666666e-01	-3.3500113527966069e-01	-7.4195706142864692e-01	1.0358693058669133e+00	3.0278826074005871e-01	1.8811369541310841e+00	-3.3202179647539385e+00	7.6691415976391797e+00	-1.0826007439237646e+01	1.6612051923906058e+01	-2.9660691447148482e+00	2.1052496557840464e-01	]
[	2.9999999999999999e-01	-3.5099772742407825e-01	-7.0550709000634626e-01	9.7524551540234961e-01	3.9112477065233298e-01	1.8618950378664978e+00	-2.8512589703389586e+00	6.4056099666633353e+00	-1.2175320888875428e+01	1.6839114323033826e+01	-4.4120440494836224e+00	2.3683603393863464e-01	]
[	3.3333333333333331e-01	-3.6508488194146993e-01	-6.7589967092075054e-01	9.0848216721012776e-01	4.8020436106616793e-01	1.8323847783744107e+00	-2.5801082203308079e+00	5.0515925709434537e+00	-1.3134048223132455e+01	1.6896800661321830e+01	-6.8833293073751749e+00	2.6314760732692377e-01	]
[	3.6666666666666664e-01	-3.7771467965665773e-01	-6.5444975336407862e-01	8.3760517845163573e-01	5.6721478437066497e-01	1.7880296501457886e+00	-2.2903986332350024e+00	3.3211972853526337e+00	-1.3753662477153981e+01	1.6038686597875245e+01	-1.0057669488600641e+01	2.8946044395961790e-01	]
[	4.0000000000000002e-01	-3.8770046246895440e-01	-6.4025607427587150e-01	7.6340029135557019e-01	6.4441920035261679e-01	1.7271380296201888e+00	-1.5543977505225264e+00	2.2094417725440803e+00	-1.4415877984369331e+01	1.3187621647970644e+01	-1.3112106244913161e+01	3.1577376338208746e-01	]
[	4.3333333333333335e-01	-3.9269908170008266e-01	-6.3227674300884928e-01	6.8592843466433340e-01	7.0401649939048760e-01	1.6502146506946056e+00	-3.9730700553996989e-01	9.5790204181865557e-01	-1.4995783487204399e+01	9.3964608534215834e+00	-1.6136329970863493e+01	3.4208522063697633e-01	]
[	4.6666666666666667e-01	-3.9097787000964823e-01	-6.3105874931490535e-01	6.0581877805501239e-01	7.4356328367657787e-01	1.5589936730676748e+00	1.0029129221504680e+00	-3.7059393075315683e-01	-1.5426111474008042e+01	5.5927870926049730e+00	-1.8541174273363744e+01	3.6839729516207165e-01	]
[	5.0000000000000000e-01	-3.8210685867215866e-01	-6.3449186970995664e-01	5.2312755173314107e-01	7.5985096732293123e-01	1.4556596715858334e+00	2.3108723220834273e+00	-8.1035157087342491e-01	-1.5978655214170487e+01	5.7152822740866416e-01	-2.0739565179940392e+01	3.9470798381130878e-01	]
[	5.3333333333333333e-01	-3.6627990634464974e-01	-6.4319629368076070e-01	4.4123280374805030e-01	7.6144975859440966e-01	1.3387466568790196e+00	3.6469218551713416e+00	-2.3650146232104721e+00	-1.5101877676483195e+01	-5.5951541219179859e-03	-2.3795291603520560e+01	4.2101832085753399e-01	]
[	5.6666666666666665e-01	-3.4323123948956852e-01	-6.5605608646638813e-01	3.6442585928595750e-01	7.5589100316091695e-01	1.2139104280159834e+00	5.0821097848040715e+00	-2.5297081933196122e+00	-1.4111064658832898e+01	-2.1034109711941427e+00	-2.3610791270991541e+01	4.4732800317014082e-01	]
[	5.9999999999999998e-01	-3.1282837750126224e-01	-6.6886877944286971e-01	2.9311163913976479e-01	7.3780282510183193e-01	1.0919623958969178e+00	6.3697997532675084e+00	-2.2538810619491181e+00	-1.2995740671897289e+01	-4.7837122962495418e+00	-2.2741789118902069e+01	4.7363987321102030e-01	]
[	6.3333333333333330e-01	-2.7677531423143198e-01	-6.8117632496368297e-01	2.2935928853920354e-01	7.1114568017509416e-01	9.7435701741495351e-01	7.2523560446402833e+00	-2.3627933008791193e+00	-1.1242330414325874e+01	-5.3264876293647934e+00	-2.1980879679492656e+01	4.9995091756513726e-01	]
[	6.6666666666666663e-01	-2.3623705615211477e-01	-6.9428648607688359e-01	1.7537173045917961e-01	6.8185809022277999e-01	8.6004706558506105e-01	8.0488469342460753e+00	-2.5152491174491285e+00	-9.2673159981068078e+00	-5.7732937597958101e+00	-2.1525135185598760e+01	5.2626472573365335e-01	]
