[	0.0000000000000000e+00	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e+00	3.3109748827918901e-02	3.8639430397327409e-02	1.0000000000000000e-02	1.0000000000000000e-02	1.0170556464267783e-02	1.8132986091778605e-01	1.0000000000000000e+00	1.0000000000000000e+00	1.0000000000000000e-02	1.9839585277671129e-01	2.3634735486740172e-01	2.8595018633774111e-01	1.0000000000000000e-02	-1.2047359110473489e-03	1.1384891870053954e-02	-1.4580922819762129e-02	4.3750259789076184e-03	-3.0833017066794711e-03	]
[	3.3333333333333333e-02	1.0000000000000000e-02	3.8794195171401463e-01	1.0000000000000000e-02	1.0000000000000000e+00	1.0154118503793412e-01	1.5232393284408507e-02	1.0000000000000000e-02	1.0000000000000000e-02	2.4736337612023152e-01	7.3694997766705250e-01	1.0000000000000000e+00	1.0000000000000000e+00	1.0000000000000000e-02	4.9798356016201939e-01	6.2247026058744104e-01	3.8597286300055084e-01	6.3786548577997448e-01	-1.1039196651714585e-04	5.5114819761812681e-03	-1.4166559983352938e-02	8.0860555004287609e-03	3.4921626578858661e-03	]
[	6.6666666666666666e-02	1.0000000000000000e-02	5.2562073793172603e-01	1.0000000000000000e-02	1.0000000000000000e+00	1.0000000000000000e-02	1.1484975810344789e-02	1.0000000000000000e-02	1.0000000000000000e-02	5.0368115422668880e-01	1.0000000000000000e+00	1.0000000000000000e+00	1.0000000000000000e+00	1.0000000000000000e-02	5.1800628357539935e-01	1.8024500485997016e-01	5.2995464274805848e-01	5.1242951763323763e-01	4.3001495912960521e-04	3.9679728568150748e-04	-1.3256572266911678e-02	-1.0574060631117243e-03	2.9110463707746068e-03	]
[	1.0000000000000001e-01	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e+00	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e-02	6.5456230053744247e-01	1.0000000000000000e+00	1.0000000000000000e+00	1.0000000000000000e+00	1.0000000000000000e-02	5.6933852023639653e-01	3.3121594233618129e-01	5.0454845342916377e-01	5.0826185742910557e-01	-5.8788775928923765e-04	-1.1363456378690913e-04	-1.2322224360621760e-02	-1.8557652223616019e-03	1.3263633077976469e-03	]
[	1.3333333333333333e-01	1.0000000000000000e-02	1.0000000000000000e-02	1.2147509467258694e-02	1.0000000000000000e+00	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e-02	5.6710428693968995e-01	9.9005579040923997e-01	1.0000000000000000e+00	1.0000000000000000e+00	1.0000000000000000e-02	6.3356708618447932e-01	2.2173599517635548e-01	7.7725790895341518e-01	8.7829199334100416e-01	5.5398895278380047e-04	-9.9852066408263364e-04	-9.9791942051620144e-03	-3.2484206963693807e-03	6.5862103852388958e-03	]
[	1.6666666666666666e-01	1.0000000000000000e-02	1.0000000000000000e-02	7.8283885052379432e-01	1.0000000000000000e+00	1.0000000000000000e-02	1.5459772899022721e-02	1.0000000000000000e-02	1.0000000000000000e-02	7.5118206684750921e-01	1.0000000000000000e+00	1.0000000000000000e+00	1.0000000000000000e+00	1.0000000000000000e-02	6.3527688325852916e-01	6.5855528961851406e-01	6.9383492579553030e-01	5.4706215208113806e-01	5.2909462339138444e-04	8.9072980328137076e-03	-8.2761890890899938e-03	4.2866384823895126e-03	5.9458967500024299e-03	]
[	2.0000000000000001e-01	1.0000000000000000e-02	1.0000000000000000e-02	8.0941936905237155e-01	1.0000000000000000e+00	1.2646940832285983e-01	1.8816431843908514e-02	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e+00	3.4988744897771218e-01	1.0000000000000000e+00	1.0000000000000000e+00	1.0000000000000000e-02	6.1977353214716147e-01	4.8513840104746830e-01	6.2279902375519380e-01	5.5150588181340587e-01	2.7447583418466307e-04	4.2168210233804824e-03	-6.3685687029191723e-03	7.7657216304280138e-04	9.2917850053973201e-03	]
[	2.3333333333333334e-01	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e+00	1.0000000000000000e+00	8.9088061525772949e-02	1.5215408563204516e-01	1.0000000000000000e-02	1.0000000000000000e-02	9.9244281677091761e-01	1.0000000000000000e-02	1.0000000000000000e+00	1.0000000000000000e+00	1.0000000000000000e-02	6.3194158123633393e-01	2.8979358014676559e-01	6.4155959776857785e-01	8.1641082211970517e-01	1.5021752259774049e-06	-1.1377573574282657e-03	-5.1602561682565114e-03	-1.0756375466155496e-03	6.9185927974863802e-03	]
[	2.6666666666666666e-01	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e+00	1.0000000000000000e+00	7.8547396336649034e-02	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e+00	1.3938315416523797e-01	1.0000000000000000e+00	1.0000000000000000e+00	1.0000000000000000e-02	6.6488464914903600e-01	3.2691414850102896e-01	6.4606435778068305e-01	8.4341858935005609e-01	3.4180986857565784e-04	3.4654574261831364e-03	-3.7771560516038621e-03	2.9122720488510114e-03	-1.5994370821088839e-03	]
[	2.9999999999999999e-01	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e+00	1.0000000000000000e+00	9.9797876705471511e-01	7.9695921911148071e-01	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e+00	9.1458059941838199e-01	1.0000000000000000e+00	9.6676410885502262e-01	1.0000000000000000e-02	7.1446144288758828e-01	4.4234286022551578e-01	6.8520976360605224e-01	7.1799259327416121e-01	1.5766592898407329e-05	2.2910454383717159e-03	-1.4578274671815951e-03	-3.0858492834912659e-03	-5.9406587076624509e-03	]
[	3.3333333333333331e-01	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e+00	1.0000000000000000e+00	4.9756704837332516e-01	7.8202992511758329e-01	1.0000000000000000e-02	1.0000000000000000e-02	1.0000000000000000e+00	8.0737891601114942e-01	1.0000000000000000e+00	1.0000000000000000e-02	1.0000000000000000e-02	7.6475487834859945e-01	3.3362103894260656e-02	6.9862817229481056e-01	6.6157636198050596e-01	-1.4156581292255600e-04	3.6484850211804547e-04	2.2916645771351558e-04	-7.3516414024297812e-03	-5.9889511383796352e-03	]
