	0.0000000000000000e+00	-2.9197676783358960e-24	5.8954164719383555e-24	1.0000000000000000e+01	-2.7510659239600537e-23 -2.9197676783358960e-24	5.8954164719383555e-24	1.0000000000000000e+01	-2.7510659239600537e-23	0.0000000000000000e+00  	
	1.2903225806451613e-01	3.0241938167295018e-02	4.6875004159307265e-01	9.9697580636216987e+00	-4.6875001386368575e-01 3.0241938167295018e-02	4.6875004159307265e-01	9.9697580636216987e+00	-4.6875001386368575e-01	3.0651859095102168e+01	
	2.5806451612903225e-01	1.1895162489468396e-01	9.0625010268145578e-01	9.8810483839867533e+00	-9.0625002047800740e-01 1.1895162489468396e-01	9.0625010268145578e-01	9.8810483839867533e+00	-9.0625002047800740e-01	5.7353035102083105e+01	
	3.8709677419354838e-01	2.6209678890016380e-01	1.3124999394034884e+00	9.7379032128982743e+00	-1.3125001313934821e+00 2.6209678890016380e-01	1.3124999394034884e+00	9.7379032128982743e+00	-1.3125001313934821e+00	8.0375981353355201e+01	
	5.1612903225806450e-01	4.5564516547682915e-01	1.6874998975348245e+00	9.5443548101532780e+00	-1.6875001111539645e+00 4.5564516547682915e-01	1.6874998975348245e+00	9.5443548101532780e+00	-1.6875001111539645e+00	9.9993165604321092e+01	
	6.4516129032258063e-01	6.9556451079362325e-01	2.0312499548754865e+00	9.3044354419535651e+00	-2.0312500959415818e+00 6.9556451079362325e-01	2.0312499548754865e+00	9.3044354419535651e+00	-2.0312500959415818e+00	1.1647705434325397e+02	
	7.7419354838709675e-01	9.7782256323734185e-01	2.3437498580021483e+00	9.0221773681641260e+00	-2.3437500477947459e+00 9.7782256323734185e-01	2.3437498580021483e+00	9.0221773681641260e+00	-2.3437500477947459e+00	1.3010009489628152e+02	
	9.0322580645161288e-01	1.2983870618399063e+00	2.6249998703376027e+00	8.7016128472679597e+00	-2.6250000260958135e+00 1.2983870618399063e+00	2.6249998703376027e+00	8.7016128472679597e+00	-2.6250000260958135e+00	1.4113476249766131e+02	
	1.0322580645161290e+00	1.6532257520115572e+00	2.8749998273229900e+00	8.3467741407223421e+00	-2.8749999253612866e+00 1.6532257520115572e+00	2.8749998273229900e+00	8.3467741407223421e+00	-2.8749999253612866e+00	1.4985350748441090e+02	
	1.1612903225806452e+00	2.0383063757625615e+00	3.0937498408175714e+00	7.9616935064489613e+00	-3.0937499058761144e+00 2.0383063757625615e+00	3.0937498408175714e+00	7.9616935064489613e+00	-3.0937499058761144e+00	1.5652880027035425e+02	
	1.2903225806451613e+00	2.4495966781491232e+00	3.2812498461741546e+00	7.5504031970683441e+00	-3.2812498895234485e+00 2.4495966781491232e+00	3.2812498461741546e+00	7.5504031970683441e+00	-3.2812498895234485e+00	1.6143309685773798e+02	
	1.4193548387096775e+00	2.8830644011417750e+00	3.4374998602119446e+00	7.1169354705340373e+00	-3.4374998717582663e+00 2.8830644011417750e+00	3.4374998602119446e+00	7.1169354705340373e+00	-3.4374998717582663e+00	1.6483885849524259e+02	
	1.5483870967741935e+00	3.3346772871828323e+00	3.5624998734244357e+00	6.6653225847176483e+00	-3.5624998583958130e+00 3.3346772871828323e+00	3.5624998734244357e+00	6.6653225847176483e+00	-3.5624998583958130e+00	1.6701854599262759e+02	
